Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;ro_w;ro_a;x1;x2;x3;estado;GOR;u1;w_inj
9788237,34691535;6410057,219501269;9.77034e+06;1.47232e+07;1.40003;4.32558;5,938714602585909;1,6170154979812084;4,321699104604701;0.216279;218,59725254445414;109,51812685708443;2335,313252832268;1026,640298986188;2743,8391693950684;1;0,05;0,4;1,4000000000000001
9820668,033248188;6630887,149129904;9.79737e+06;1.47522e+07;1.60002;4.09244;5,8935447652164505;1,8054397818723074;4,0881049833441425;0.204622;205,01847057884612;109,88098565320684;2343,0506838841816;1083,306356593003;2452,9591955061214;1;0,05;0,4;1,6
9853492,968056638;6831260,585262117;9.8241e+06;1.47807e+07;1.8;3.85017;5,8385618072669265;1,9934526397307266;3,8451091675362;0.192509;192,86584089739313;110,2482555964066;2350,882176170756;1135,8140493576823;2190,83660517341;1;0,05;0,4;1,8
9886579,874801692;7013284,494331339;9.85042e+06;1.48085e+07;1.99992;3.59794;5,777311684725297;2,179865471029594;3,5974462136957026;0.179897;181,98402226851218;110,61845667774381;2358,776170674404;1184,3744629902233;1954,580906072903;1;0,05;0,4;2,0
9379714,9914555;3784161,232425452;9.37933e+06;1.4327e+07;0.199924;6.74515;7,282279312033768;0,5371383519307629;6,745140960103004;0.337257;371,5442795659081;104,94727292664655;2237,8465040223514;472,69530659920343;5935,894286322939;1;0,05;0,5;0,2
9323274,70400251;4225624,003983909;9.32174e+06;1.4279e+07;0.39993;6.98123;7,730742871311823;0,7488612138711138;6,9818816574407085;0.349061;335,6608373390967;104,31577673973864;2224,380775044686;560,831842339167;5228,821416314441;1;0,05;0,5;0,4
9307340,858385108;4579066,951204602;9.30388e+06;1.42688e+07;0.599936;7.03061;7,9830209953775;0,9512636579280075;7,031757337449493;0.35153;308,8744176594191;104,13749694698332;2220,5792202273997;634,8446360315885;4692,782479758541;1;0,05;0,5;0,6000000000000001
9312986,23562372;4879346,865090677;9.30685e+06;1.42781e+07;0.799942;6.98551;8,135981355177334;1,148954906302298;6,987026448875036;0.349275;287,36635300150186;104,20066165362677;2221,9261148536034;699,9722721470708;4256,672522258202;1;0,05;0,5;0,8
9331716,763908101;5142752,933440579;9.32214e+06;1.4299e+07;0.999948;6.884;8,22963959915383;1,343835683398947;6,885803915754883;0.3442;269,377554354136;104,41023282564127;2226,3949123893367;758,7149455291081;3887,6496638727212;1;0,05;0,5;1,0
9358931,706718953;5378524,77800109;9.34518e+06;1.43269e+07;1.19995;6.74552;8,284419313336429;1,5368751865654124;6,747544126771016;0.337276;253,92592872956385;104,71473397876323;2232,887952389157;812,5226138421139;3567,3242946626506;1;0,05;0,5;1,2
9391853,293197628;5592523,752740775;9.3732e+06;1.43593e+07;1.39996;6.58127;8,312101974748192;1,7286344725740368;6,583467502174154;0.329064;240,39868625051707;105,08308533320236;2240,7425041826054;862,3355252580797;3284,186446920285;1;0,05;0,5;1,4000000000000001
9428679,209511574;5788748,754304798;9.40441e+06;1.43944e+07;1.59996;6.39828;8,32005642700893;1,919464429290774;6,4005919977181565;0.319914;228,3845651877834;105,49512125259803;2249,5285651829295;908,8085988710169;3030,4875446639985;1;0,05;0,5;1,6
9468178,489116201;5970072,6915787775;9.4376e+06;1.44311e+07;1.79997;6.20119;8,313167816389745;2,1095953805498397;6,203572435839906;0.310059;217,59286451495606;105,93706876175463;2258,9524469165576;952,4214081802647;2800,7338514132334;1;0,05;0,5;1,8
9509477,982677134;6138649,272828939;9.47188e+06;1.44687e+07;1.99997;5.99322;8,29481848643867;2,2991928748401085;5,9956256115985616;0.299661;207,8093877593012;106,3991584122845;2268,805830240829;993,5404699007721;2590,864277931009;1;0,05;0,5;2,0
8910599,002689553;3371088,2962278244;8.9102e+06;1.38835e+07;0.199976;8.68778;9,32466653992605;0,633992209652336;8,690674330273714;0.434389;362,50767704232976;99,6984520667247;2125,923105881023;425,1279914059445;5827,593566202509;1;0,05;0,6;0,2
8806783,424809758;3691225,4046962336;8.80516e+06;1.37931e+07;0.400045;9.03266;9,890399979152145;0,8508023601262963;9,039597619025848;0.451633;330,62997862050554;98,53688566564391;2101,1544078733546;490,5789854416203;5212,299397105448;1;0,05;0,6;0,4
8757729,832565315;3956136,508352347;8.75405e+06;1.37539e+07;0.600087;9.17798;10,244956553787892;1,0577956888631408;9,187160864924751;0.458899;306,7164687892905;97,98803735436798;2089,451023493982;546,2364139313033;4744,169273803678;1;0,05;0,6;0,6000000000000001
8737386,962639062;4188025,617161726;8.73084e+06;1.37411e+07;0.800076;9.22522;10,486065260657858;1,2614493561097877;9,22461590454807;0.461261;287,2689733270417;97,76042609707427;2084,5975476274216;596,0708262566233;4358,89431271421;1;0,05;0,6;0,8
8739010,61723944;4394104,668914904;8.72878e+06;1.37481e+07;1.00007;9.19937;10,658924471190021;1,4601583843116217;9,198766086878399;0.459968;271,26867630377774;97,77859276020207;2084,9849250450197;640,9706017375571;4038,0130657737936;1;0,05;0,6;1,0
8754191,179896003;4581772,059856724;8.73949e+06;1.3767e+07;1.20007;9.12963;10,785721504026627;1,656671944537998;9,12904955948863;0.456482;257,5707367095598;97,9484442592881;2088,606758874835;682,3948122409588;3760,3196460376626;1;0,05;0,6;1,2
