Pai;Pwh;Pwi;Pwb;wiv;wro;wpc;wpg;wpo;wrg;wrh;wtg;wto;ro_w;ro_a;ro_r;Prh;Pm;x1;x2;x3;x4;x5;estado;GOR;u1;w_inj
10853241,98540073;10091556,3734675;1.03263e+07;1.37887e+07;0.799906;11.9789;13,140082274635501;1,1589277942803522;11,981154480354045;0.359366;13,140902044292732;1,1589276227234173;11,981974421560338;690,3975173964752;121,43419600893303;254,5954967510597;2006782,6536109766;3255573,5651749247;2589,405931466234;1050,2904005821579;10858,046205045703;129,09590915244456;1334,7027468011465;1;0,03;0,4;0,8
11303740,599470273;10267780,421022672;1.05132e+07;1.38156e+07;0.999906;11.7906;13,145832093094784;1,3533234257536915;11,79250866733993;0.353717;13,146398063034551;1,3533232715121957;11,793074791511877;657,0337570902553;126,47471174388681;218,2393068177151;2007919,18671993;3078382,9866608228;2696,887528666236;1166,683572743062;10166,177487065605;129,16902209007046;1125,5994560357512;1;0,03;0,4;1,0
11781997,074398208;10435327,108138425;1.06898e+07;1.38484e+07;1.19991;11.5615;13,109687742400792;1,5464874171944614;11,56320032520512;0.346846;13,110097975913357;1,546487277048273;11,563610698853116;627,0651987413537;131,82580320550375;190,55716026056783;2009019,5859711084;2943702,457049194;2810,9916972277006;1275,9058336377586;9540,041895210628;129,23981054416933;966,369965085498;1;0,03;0,4;1,2
12282828,187542798;10594474,66029159;1.08568e+07;1.38847e+07;1.39991;11.3069;13,04718944841227;1,7388775883031888;11,30831186010782;0.339206;13,047495839269025;1,7388774607264788;11,308618378529099;599,879354891743;137,42947661873657;168,754261116778;2010087,8725401748;2837827,523317971;2930,481805048378;1379,0113427721856;8968,020766723983;129,30853319613206;840,9453156011868;1;0,03;0,4;1,4000000000000001
12802090,420084232;10745773,171273092;1.10151e+07;1.39235e+07;1.59991;11.0355;12,96754292346359;1,930763625311537;11,036779298150746;0.331066;12,967776755571222;1,9307635091588908;11,037013246397407;575,0306594830485;143,2393711932142;151,13234835268284;2011126,8855288285;2752431,0541987377;3054,3692763438544;1476,7748793218595;8441,653966574328;129,37537268477828;739,5611608081152;1;0,03;0,4;1,6
13336450,215475092;10889840,390104;1.11654e+07;1.39638e+07;1.79991;10.7531;12,876543023651145;2,1223152387525044;10,754227784897287;0.322594;12,876724455239952;2,122315133038196;10,754409322185362;552,180360942108;149,21818860280234;136,59505686627259;2012138,8018351574;2682137,5557642244;3181,8587790734005;1569,796825508239;7954,498148657436;129,4404690495075;655,913801557488;1;0,03;0,4;1,8
13883220,645473422;11027282,032471813;1.13084e+07;1.40052e+07;1.99991;10.4634;12,77800765389329;2,313643799919894;10,464363853972001;0.313902;12,778150562792202;2,3136437035731237;10,464506859201213;531,062726916586;155,33586548291058;124,40099761207664;2013125,3876528025;2623312,2809400386;3312,3092561283215;1658,5594978432089;7501,487506198379;129,5039359091879;585,7405025338724;1;0,03;0,4;2,0
9148058,50911922;8811001,698731866;9.10894e+06;1.32442e+07;0.200091;15.7905;16,465885417797253;0,6736217829046168;15,792263634891476;0.473716;16,468055193066885;0,6736216534829906;15,794433539578671;823,3735184187262;102,35532678547884;548,4161981728296;2004945,0917523124;4694926,5437900415;2182,5770582446694;581,0049193963622;13620,971134146703;128,97769918170295;3024,1452116037362;1;0,03;0,5;0,2
9389845,451947173;8902520,407143552;9.23753e+06;1.31939e+07;0.400025;16.143;17,165962414140402;0,8655963887752524;16,30036602536388;0.484291;17,289500318335207;0,8655802219552168;16,423920096373283;784,3452583624827;105,06062010219154;448,4681642408013;2006665,5081696548;4206401,853770785;2240,2634661172638;682,1917061821814;12846,604554313004;129,08837321066068;2449,3825912445536;1;0,03;0,5;0,4
9711303,692511681;9011276,919427281;9.38009e+06;1.31412e+07;0.599908;16.5118;17,616825441429096;1,0938856971733215;16,522939744254398;0.495354;17,62320582049268;1,0938845045894043;16,52932131589481;742,2170693563115;108,65733553946887;362,06259569342393;2008578,00245277;3784495,0343290144;2316,9581418607995;794,9267502432868;12007,220525239836;129,21140356862364;1952,4701175515902;1;0,03;0,5;0,6000000000000001
10094930,276568837;9135549,411794271;9.52844e+06;1.31373e+07;0.799908;16.539;17,838468359232294;1,295570895259062;16,542897463971773;0.496169;17,840258559075476;1,295570435850454;16,544688123215003;709,5234172993034;112,94963694261631;309,72575696686295;2010276,0205858087;3529480,858508271;2408,4851670171497;888,8372261574675;11349,3928802282;129,3206367206282;1651,4498503772177;1;0,03;0,5;0,8
10524113,832914658;9262102,516471408;9.67503e+06;1.31485e+07;0.999908;16.4608;17,95654665554045;1,4934189957707986;16,46312765976812;0.493823;17,957430846717866;1,4934186993933343;16,464012147312992;680,5337816149706;117,75166385542404;270,67828252301683;2011913,3799582622;3339590,35573366;2510,881340251336;976,2485959814524;10761,953148330447;129,42596770722795;1426,840781741353;1;0,03;0,5;1,0
10988845,371418938;9387643,669004975;9.81783e+06;1.31687e+07;1.19991;16.3189;18,009798968942054;1,689249773550721;16,320549195389738;0.489567;18,01032572654313;1,689249550922981;16,321076175607107;654,3606267504588;122,95142820364134;240,19385567394605;2013504,584947273;3191655,4470279785;2621,75868030891;1058,6540054540937;10228,0995075067;129,52832959197647;1251,4679864882671;1;0,03;0,5;1,2
11481605,351216374;9510701,396487728;9.9561e+06;1.3195e+07;1.39991;16.1348;18,019798608524557;1,8837750926787011;16,136023515844197;0.484044;18,02014653084507;1,8837749122393002;16,13637161859124;630,4851402872227;128,4647957349809;215,67410891229108;2015056,3126297735;3072937,816844561;2739,3231477918075;1136,8570353704906;9738,079629668397;129,62815190983883;1110,391702245284;1;0,03;0,5;1,4000000000000001
11996614,709474491;9630614,052026447;1.00896e+07;1.32255e+07;1.59991;15.9214;17,999770675158963;2,0774046155389123;15,922366059618335;0.477641;18,00001647013246;2,0774044625023076;15,92261200761414;608,5391954104944;134,22710596829887;195,50023533387372;2016572,9004045296;2975501,5547171803;2862,195952878807;1211,4194916665315;9284,982065502674;129,72571368477213;994,3043079465668;1;0,03;0,5;1,6
12529393,18108124;9747121,340459725;1.02185e+07;1.3259e+07;1.79991;15.6871;17,95831628401326;2,2703978636012727;15,687918420410218;0.470613;17,958499046551594;2,2703977294366853;15,68810131709742;588,2457151221154;140,18823034362026;178,60069225918724;2018057,4713303444;2894093,866861658;2989,3081776308004;1282,7647193438995;8863,604301374407;129,82121582249715;897,0447602752952;1;0,03;0,5;1,8
13076451,491761638;9860171,725414995;1.03428e+07;1.32946e+07;1.99991;15.4377;17,901279197158512;2,4629298959083465;15,438349301248342;0.46313;17,901420494102013;2,462929775441252;15,438490718641802;569,3881758632983;146,3091282483053;164,23416703048468;2019512,4352929054;2825081,024577433;3119,8273383054825;1351,2269840708075;8469,87736029891;129,91481335045708;814,3507216992332;1;0,03;0,5;2,0
8500015,734644761;7993334,387542848;8.45792e+06;1.26062e+07;0.200085;20.2563;21,063660190068703;0,8078468103396104;20,25581337972759;0.60769;21,063480673840164;0,807846981745151;20,255633692088757;814,7028782745682;95,10453910346084;585,6719356588706;2007575,4051216082;4880296,249528369;2027,9646570538341;538,9473072262529;13513,47302106989;129,1469066916214;3238,178137103068;1;0,03;0,6;0,2
8678825,707011953;7982955,451120835;8.51398e+06;1.24879e+07;0.400089;21.0848;22,117392982244;1,0326547490641869;21,084738233178157;0.632544;22,11748042089732;1,0326548366036672;21,084825584285664;774,6026297760819;97,10519893045057;481,71650785118294;2010154,9963971735;4372974,467407227;2070,625790351676;623,8096089956144;12736,940710274313;129,3128512598394;2640,3197060382663;1;0,03;0,6;0,4
8964823,921494747;8025996,053698641;8.60586e+06;1.24396e+07;0.600053;21.4228;22,731194420534493;1,2353209384611143;21,4958734820716;0.642685;22,777566770073857;1,2353090395143007;21,542257730550013;742,6879157521686;100,30516105074841;415,1912782996559;2012495,868171651;4049009,088231463;2138,8602841523925;696,1707702065682;12114,09790958368;129,46343905238967;2257,6818282220993;1;0,03;0,6;0,6000000000000001
9319923,686677657;8083479,298455593;8.70628e+06;1.24038e+07;0.799938;21.6731;23,143076546669736;1,447839656047825;21,695236890620027;0.650193;23,154737932618136;1,4478360437052717;21,706901888901694;711,9866142761505;104,27828304931366;360,536448706493;2014870,6709308242;3783301,9518361725;2223,581277148196;768,2862942275541;11512,43031882586;129,6162096181017;1943,2907183267996;1;0,03;0,6;0,8
9732155,328437222;8155428,273990931;8.81396e+06;1.23928e+07;0.999912;21.7505;23,40645748578781;1,6520024310136712;21,75445505477216;0.652515;23,40822219818374;1,6520017339357866;21,756220464235223;685,3313735515108;108,89063925162189;319,79688607856747;2017134,1526554115;3585737,8788707852;2321,9330009691653;834,3100741258444;10986,64303912523;129,7618189248992;1708,9126980783255;1;0,03;0,6;1,0
10187045,840514177;8234349,41230438;8.92386e+06;1.23964e+07;1.19991;21.7251;23,57815296371253;1,8514873667352751;21,726665596975188;0.651754;23,578751442444133;1,8514870565075476;21,727264385922332;661,5447959745148;113,98029482923292;287,73138643246244;2019322,101995121;3430644,5524463495;2430,46243316318;896,0290925150621;10514,64071967356;129,90256924914632;1524,4111248666895;1;0,03;0,6;1,2
10674455,489613745;8316497,854489821;9.03359e+06;1.2409e+07;1.39991;21.637;23,686867704294666;2,0489024378639553;21,637965266428566;0.64911;23,687201194693344;2,048902220751096;21,638298973926492;639,8507103000145;119,43379885549709;261,4801638678315;2021457,9757079198;3304018,1794796335;2546,75039929625;954,6500116689552;10081,828891581445;130,0399695591861;1373,3421299384686;1;0,03;0,6;1,4000000000000001
11187067,356598556;8400041,517579429;9.14207e+06;1.24279e+07;1.59991;21.5045;23,750159408564745;2,2449520040115263;21,505207404550994;0.645134;23,750384640943363;2,2449518267592676;21,505432814166852;619,8864290924045;125,16928416170076;239,5294828151851;2023549,5340265895;3198441,647235072;2669,051202198825;1010,6587520053979;9681,465812303915;130,17451906917321;1247,0019804388346;1;0,03;0,6;1,6
11719384,30708278;8483897,976375181;9.24872e+06;1.24515e+07;1.79991;21.3392;23,779762077737125;2,440006411916354;21,33975566581848;0.640175;23,779929053262467;2,4400062570730268;21,339922796170715;601,398021317817;131,1252446932112;220,87936598435294;2025601,5324590462;3109014,8226122977;2796,0533155634776;1064,381551375548;9308,845309025222;130,30652369993916;1139,640993761135;1;0,03;0,6;1,8
12267239,314695446;8567398,482673274;9.35323e+06;1.24787e+07;1.99991;21.149;23,783846619946978;2,6343115792074636;21,149535040737153;0.634471;23,783977122272926;2,634311439148544;21,149665683104185;584,1897807436544;137,25505663957733;204,8259146909827;2027617,480366497;3032288,5919257673;2926,762555088771;1116,0685802725786;8960,341568039596;130,4362092079577;1047,211873555617;1;0,03;0,6;2,0
